=== NEW GATE (with early-exit) ===
Self-playing 100000 games with the heuristic solver…

  50/100000  (1.8s)   
  100/100000  (3.0s)   
  150/100000  (4.3s)   
  200/100000  (5.8s)   
  250/100000  (6.6s)   
  300/100000  (9.4s)   
  350/100000  (10.5s)   
  400/100000  (12.2s)   
  450/100000  (14.5s)   
  500/100000  (16.7s)   
  550/100000  (17.8s)   
  600/100000  (19.0s)   
  650/100000  (21.0s)   
  700/100000  (22.6s)   
  750/100000  (25.7s)   
  800/100000  (27.3s)   
  850/100000  (28.2s)   
  900/100000  (29.1s)   
  950/100000  (30.8s)   
  1000/100000  (32.2s)   
  1050/100000  (33.5s)   
  1100/100000  (35.1s)   
  1150/100000  (37.5s)   
  1200/100000  (39.6s)   
  1250/100000  (41.1s)   
  1300/100000  (42.0s)   
  1350/100000  (43.6s)   
  1400/100000  (44.4s)   
  1450/100000  (45.8s)   
  1500/100000  (47.2s)   
  1550/100000  (48.6s)   
  1600/100000  (50.5s)   
  1650/100000  (51.2s)   
  1700/100000  (51.9s)   
  1750/100000  (53.4s)   
  1800/100000  (55.5s)   
  1850/100000  (58.1s)   
  1900/100000  (60.9s)   
  1950/100000  (63.3s)   
  2000/100000  (66.8s)   
  2050/100000  (68.7s)   
  2100/100000  (69.6s)   
  2150/100000  (71.3s)   
  2200/100000  (73.2s)   
  2250/100000  (74.4s)   
  2300/100000  (76.7s)   
  2350/100000  (77.8s)   
  2400/100000  (79.0s)   
  2450/100000  (80.4s)   
  2500/100000  (82.1s)   
  2550/100000  (82.8s)   
  2600/100000  (84.9s)   
  2650/100000  (87.0s)   
  2700/100000  (89.1s)   
  2750/100000  (91.1s)   
  2800/100000  (93.7s)   
  2850/100000  (95.3s)   
  2900/100000  (96.5s)   
  2950/100000  (98.0s)   
  3000/100000  (99.6s)   
  3050/100000  (100.9s)   
  3100/100000  (102.6s)   
  3150/100000  (103.3s)   
  3200/100000  (104.5s)   
  3250/100000  (105.8s)   
  3300/100000  (106.9s)   
  3350/100000  (108.0s)   
  3400/100000  (109.4s)   
  3450/100000  (110.9s)   
  3500/100000  (112.5s)   
  3550/100000  (114.3s)   
  3600/100000  (115.9s)   
  3650/100000  (117.0s)   
  3700/100000  (118.2s)   
  3750/100000  (119.4s)   
  3800/100000  (120.6s)   
  3850/100000  (122.0s)   
  3900/100000  (122.9s)   
  3950/100000  (124.4s)   
  4000/100000  (126.8s)   
  4050/100000  (128.0s)   
  4100/100000  (130.2s)   
  4150/100000  (130.9s)   
  4200/100000  (133.2s)   
  4250/100000  (135.2s)   
  4300/100000  (136.1s)   
  4350/100000  (136.9s)   
  4400/100000  (138.8s)   
  4450/100000  (141.8s)   
  4500/100000  (142.8s)   
  4550/100000  (143.9s)   
  4600/100000  (144.6s)   
  4650/100000  (145.3s)   
  4700/100000  (147.2s)   
  4750/100000  (148.6s)   
  4800/100000  (149.5s)   
  4850/100000  (150.8s)   
  4900/100000  (151.5s)   
  4950/100000  (153.8s)   
  5000/100000  (156.4s)   
  5050/100000  (157.9s)   
  5100/100000  (159.3s)   
  5150/100000  (160.7s)   
  5200/100000  (163.3s)   
  5250/100000  (165.4s)   
  5300/100000  (166.7s)   
  5350/100000  (167.8s)   
  5400/100000  (169.2s)   
  5450/100000  (169.8s)   
  5500/100000  (171.0s)   
  5550/100000  (172.3s)   
  5600/100000  (173.3s)   
  5650/100000  (174.8s)   
  5700/100000  (176.7s)   
  5750/100000  (177.6s)   
  5800/100000  (178.8s)   
  5850/100000  (180.6s)   
  5900/100000  (181.7s)   
  5950/100000  (182.9s)   
  6000/100000  (183.9s)   
  6050/100000  (184.6s)   
  6100/100000  (187.1s)   
  6150/100000  (188.4s)   
  6200/100000  (189.3s)   
  6250/100000  (190.7s)   
  6300/100000  (192.1s)   
  6350/100000  (193.0s)   
  6400/100000  (194.5s)   
  6450/100000  (195.9s)   
  6500/100000  (197.3s)   
  6550/100000  (198.2s)   
  6600/100000  (199.7s)   
  6650/100000  (200.6s)   
  6700/100000  (201.5s)   
  6750/100000  (202.8s)   
  6800/100000  (204.8s)   
  6850/100000  (206.6s)   
  6900/100000  (208.9s)   
  6950/100000  (210.5s)   
  7000/100000  (212.0s)   
  7050/100000  (214.4s)   
  7100/100000  (215.4s)   
  7150/100000  (216.7s)   
  7200/100000  (218.6s)   
  7250/100000  (220.2s)   
  7300/100000  (221.2s)   
  7350/100000  (224.0s)   
  7400/100000  (224.8s)   
  7450/100000  (226.4s)   
  7500/100000  (228.5s)   
  7550/100000  (229.6s)   
  7600/100000  (231.3s)   
  7650/100000  (232.8s)   
  7700/100000  (235.8s)   
  7750/100000  (237.0s)   
  7800/100000  (237.9s)   
  7850/100000  (239.7s)   
  7900/100000  (241.5s)   
  7950/100000  (242.6s)   
  8000/100000  (243.8s)   
  8050/100000  (244.8s)   
  8100/100000  (246.4s)   
  8150/100000  (247.3s)   
  8200/100000  (249.1s)   
  8250/100000  (250.5s)   
  8300/100000  (252.2s)   
  8350/100000  (252.7s)   
  8400/100000  (254.8s)   
  8450/100000  (255.2s)   
  8500/100000  (258.3s)   
  8550/100000  (259.5s)   
  8600/100000  (261.0s)   
  8650/100000  (262.1s)   
  8700/100000  (262.9s)   
  8750/100000  (263.8s)   
  8800/100000  (264.3s)   
  8850/100000  (265.0s)   
  8900/100000  (267.0s)   
  8950/100000  (268.6s)   
  9000/100000  (271.1s)   
  9050/100000  (272.1s)   
  9100/100000  (272.9s)   
  9150/100000  (274.3s)   
  9200/100000  (276.2s)   
  9250/100000  (277.6s)   
  9300/100000  (279.8s)   
  9350/100000  (280.5s)   
  9400/100000  (281.6s)   
  9450/100000  (282.8s)   
  9500/100000  (283.6s)   
  9550/100000  (284.8s)   
  9600/100000  (285.7s)   
  9650/100000  (288.6s)   
  9700/100000  (290.5s)   
  9750/100000  (291.4s)   
  9800/100000  (292.4s)   
  9850/100000  (293.8s)   
  9900/100000  (294.8s)   
  9950/100000  (295.5s)   
  10000/100000  (297.8s)   
  10050/100000  (299.1s)   
  10100/100000  (300.4s)   
  10150/100000  (301.4s)   
  10200/100000  (302.7s)   
  10250/100000  (304.8s)   
  10300/100000  (308.3s)   
  10350/100000  (310.5s)   
  10400/100000  (311.3s)   
  10450/100000  (312.5s)   
  10500/100000  (315.0s)   
  10550/100000  (317.6s)   
  10600/100000  (318.6s)   
  10650/100000  (320.1s)   
  10700/100000  (321.1s)   
  10750/100000  (324.2s)   
  10800/100000  (326.0s)   
  10850/100000  (327.0s)   
  10900/100000  (328.5s)   
  10950/100000  (330.2s)   
  11000/100000  (331.0s)   
  11050/100000  (331.7s)   
  11100/100000  (333.4s)   
  11150/100000  (334.6s)   
  11200/100000  (335.8s)   
  11250/100000  (337.2s)   
  11300/100000  (339.0s)   
  11350/100000  (339.7s)   
  11400/100000  (340.3s)   
  11450/100000  (341.4s)   
  11500/100000  (343.3s)   
  11550/100000  (344.6s)   
  11600/100000  (345.4s)   
  11650/100000  (346.2s)   
  11700/100000  (348.9s)   
  11750/100000  (350.2s)   
  11800/100000  (351.7s)   
  11850/100000  (352.6s)   
  11900/100000  (353.8s)   
  11950/100000  (355.5s)   
  12000/100000  (356.6s)   
  12050/100000  (357.3s)   
  12100/100000  (359.2s)   
  12150/100000  (359.9s)   
  12200/100000  (362.0s)   
  12250/100000  (363.4s)   
  12300/100000  (363.9s)   
  12350/100000  (365.6s)   
  12400/100000  (366.9s)   
  12450/100000  (368.0s)   
  12500/100000  (369.4s)   
  12550/100000  (371.0s)   
  12600/100000  (372.4s)   
  12650/100000  (374.0s)   
  12700/100000  (375.9s)   
  12750/100000  (377.1s)   
  12800/100000  (379.2s)   
  12850/100000  (380.5s)   
  12900/100000  (381.4s)   
  12950/100000  (382.5s)   
  13000/100000  (384.3s)   
  13050/100000  (386.8s)   
  13100/100000  (387.6s)   
  13150/100000  (388.8s)   
  13200/100000  (390.2s)   
  13250/100000  (391.4s)   
  13300/100000  (393.0s)   
  13350/100000  (394.4s)   
  13400/100000  (396.6s)   
  13450/100000  (397.5s)   
  13500/100000  (398.7s)   
  13550/100000  (400.2s)   
  13600/100000  (401.2s)   
  13650/100000  (402.7s)   
  13700/100000  (404.2s)   
  13750/100000  (405.1s)   
  13800/100000  (406.1s)   
  13850/100000  (407.3s)   
  13900/100000  (408.7s)   
  13950/100000  (410.1s)   
  14000/100000  (411.0s)   
  14050/100000  (412.5s)   
  14100/100000  (414.6s)   
  14150/100000  (416.0s)   
  14200/100000  (417.3s)   
  14250/100000  (418.0s)   
  14300/100000  (420.4s)   
  14350/100000  (422.3s)   
  14400/100000  (424.7s)   
  14450/100000  (425.7s)   
  14500/100000  (426.7s)   
  14550/100000  (427.5s)   
  14600/100000  (428.4s)   
  14650/100000  (428.9s)   
  14700/100000  (430.1s)   
  14750/100000  (431.6s)   
  14800/100000  (433.2s)   
  14850/100000  (434.7s)   
  14900/100000  (435.3s)   
  14950/100000  (436.4s)   
  15000/100000  (437.7s)   
  15050/100000  (438.7s)   
  15100/100000  (439.4s)   
  15150/100000  (440.8s)   
  15200/100000  (441.4s)   
  15250/100000  (442.0s)   
  15300/100000  (443.9s)   
  15350/100000  (445.2s)   
  15400/100000  (445.8s)   
  15450/100000  (446.9s)   
  15500/100000  (447.8s)   
  15550/100000  (449.9s)   
  15600/100000  (451.6s)   
  15650/100000  (452.6s)   
  15700/100000  (454.8s)   
  15750/100000  (456.0s)   
  15800/100000  (457.0s)   
  15850/100000  (457.9s)   
  15900/100000  (459.2s)   
  15950/100000  (460.4s)   
  16000/100000  (461.0s)   
  16050/100000  (462.0s)   
  16100/100000  (463.8s)   
  16150/100000  (465.1s)   
  16200/100000  (466.0s)   
  16250/100000  (467.7s)   
  16300/100000  (469.5s)   
  16350/100000  (470.4s)   
  16400/100000  (472.5s)   
  16450/100000  (473.4s)   
  16500/100000  (475.1s)   
  16550/100000  (476.0s)   
  16600/100000  (477.0s)   
  16650/100000  (478.4s)   
  16700/100000  (480.8s)   
  16750/100000  (482.5s)   
  16800/100000  (483.4s)   
  16850/100000  (484.0s)   
  16900/100000  (486.4s)   
  16950/100000  (488.3s)   
  17000/100000  (489.6s)   
  17050/100000  (490.6s)   
  17100/100000  (491.7s)   
  17150/100000  (493.4s)   
  17200/100000  (494.6s)   
  17250/100000  (496.6s)   
  17300/100000  (497.4s)   
  17350/100000  (499.1s)   
  17400/100000  (499.6s)   
